#,Headline (EN),Body (EN),Headline (ES),Body (ES),Theme,App Feature
15,YOUR NEIGHBORHOOD YOUR WATCH,"Report ICE activity anonymously on the SafeNeighbor map. Your report helps neighbors check routes and avoid danger zones. Community awareness saves families.",TU VECINDARIO TU VIGILANCIA,"Reporta actividad de ICE anónimamente en el mapa de SafeNeighbor. Tu reporte ayuda a los vecinos a verificar rutas y evitar zonas de peligro. La conciencia comunitaria salva familias.",Community Is Our Armor,Community Reports / Check My Route
16,KNOW BEFORE YOU GO,"Check your daily route for reported ICE activity before leaving home. SafeNeighbor's route checker shows you a safety-scored path based on real community reports.",INFÓRMATE ANTES DE SALIR,"Verifica tu ruta diaria por actividad reportada de ICE antes de salir de casa. El verificador de rutas de SafeNeighbor te muestra un camino con puntuación de seguridad basado en reportes reales de la comunidad.",Prepared Not Powerless,Check My Route
17,EVIDENCE SURVIVES,"Back up encrypted recordings to Google Drive or cloud storage. If your phone is seized or damaged, your evidence lives on — encrypted so only you have the key.",LA EVIDENCIA SOBREVIVE,"Respalda grabaciones encriptadas en Google Drive o almacenamiento en la nube. Si confiscan o dañan tu teléfono, tu evidencia permanece — encriptada para que solo tú tengas la clave.",Privacy Is A Right,Backup / Vault
18,DOCUMENT EVERYTHING,"Badge numbers. Vehicle plates. Warrant type shown. Names of agents. Time and location. Whether force was used. Your detailed notes become legal evidence.",DOCUMENTA TODO,"Números de placa. Placas de vehículos. Tipo de orden mostrada. Nombres de agentes. Hora y ubicación. Si se usó la fuerza. Tus notas detalladas se convierten en evidencia legal.",Be A Guardian,Encounter Log
19,YOU ARE NOT ALONE,"SafeNeighbor connects you to 200+ legal aid organizations across all 50 states, immigration hotlines, and know-your-rights resources — all free and offline-accessible.",NO ESTÁS SOLO,"SafeNeighbor te conecta con más de 200 organizaciones de asistencia legal en los 50 estados, líneas de ayuda de inmigración y recursos de conoce tus derechos — todo gratis y accesible sin internet.",Community Is Our Armor,Legal Directory
20,EQUAL PROTECTION FOR ALL,"The 14th Amendment guarantees equal protection under the law to every person on U.S. soil — not just citizens. Your rights don't depend on a document.",PROTECCIÓN IGUAL PARA TODOS,"La 14ta Enmienda garantiza protección igualitaria bajo la ley a toda persona en suelo estadounidense — no solo a los ciudadanos. Tus derechos no dependen de un documento.",Knowledge Is Protection,Legal / Constitutional Rights
21,PREPARE YOUR CHILDREN,"Write down your children's school info, authorized pickup contacts, and share your family plan with school administration. If you're detained, your kids need a safety net.",PREPARA A TUS HIJOS,"Escribe la información escolar de tus hijos, contactos autorizados para recogerlos, y comparte tu plan familiar con la administración escolar. Si te detienen, tus hijos necesitan una red de seguridad.",Prepared Not Powerless,Family Kit
22,THE POWER OF PRESENCE,"You don't need to intervene. Just being there — visible, calm, recording — changes the dynamic. Witnesses make agents accountable. Your presence is protection.",EL PODER DE LA PRESENCIA,"No necesitas intervenir. Solo estar ahí — visible, calmado, grabando — cambia la dinámica. Los testigos hacen que los agentes rindan cuentas. Tu presencia es protección.",Be A Guardian,Community Witnessing
23,BREATHE BEFORE YOU SPEAK,"Before responding to any authority: pause. Take one deep breath. Then speak slowly and clearly. Panic leads to mistakes. Calm leads to protection.",RESPIRA ANTES DE HABLAR,"Antes de responder a cualquier autoridad: pausa. Toma una respiración profunda. Luego habla despacio y con claridad. El pánico lleva a errores. La calma lleva a la protección.",Calm In Chaos,De-Escalation
24,OFFLINE MEANS UNSTOPPABLE,"SafeNeighbor works without internet. Your rights guides, breathing exercises, and emergency scenarios are always available — even when connection isn't.",SIN INTERNET IMPARABLE,"SafeNeighbor funciona sin internet. Tus guías de derechos, ejercicios de respiración y escenarios de emergencia siempre están disponibles — incluso cuando la conexión no lo está.",Privacy Is A Right,Offline Library / PWA
25,CODE WORDS SAVE FAMILIES,"Establish a family code word that signals an emergency. One word in a text or call tells your trusted contacts to activate the plan — no explanation needed.",LAS PALABRAS CLAVE SALVAN FAMILIAS,"Establece una palabra clave familiar que señale una emergencia. Una palabra en un mensaje o llamada le dice a tus contactos de confianza que activen el plan — sin necesidad de explicación.",Prepared Not Powerless,Family Kit / Trusted Contacts
26,GREEN CARD HOLDERS HAVE RIGHTS,"You cannot be deported without a hearing before an immigration judge. You have the right to a bond hearing. After 5+ years, you may qualify for cancellation of removal.",LOS RESIDENTES PERMANENTES TIENEN DERECHOS,"No pueden deportarte sin una audiencia ante un juez de inmigración. Tienes derecho a una audiencia de fianza. Después de 5+ años, puedes calificar para cancelación de deportación.",Knowledge Is Protection,Legal / Rights by Status
27,AFTER THE ENCOUNTER,"Seek medical attention if injured. Don't wash clothes or disturb what agents touched. Document injuries with photos. Contact an attorney immediately. File a formal complaint.",DESPUÉS DEL ENCUENTRO,"Busca atención médica si estás herido. No laves la ropa ni alteres lo que los agentes tocaron. Documenta lesiones con fotos. Contacta a un abogado inmediatamente. Presenta una queja formal.",Prepared Not Powerless,Post-Encounter Guide
28,RESPECT WITHOUT SURRENDER,"""I understand you are doing your job, and I am choosing to exercise my right to remain silent."" This phrase de-escalates while protecting your rights. Memorize it.",RESPETO SIN RENDICIÓN,"""Entiendo que está haciendo su trabajo, y estoy eligiendo ejercer mi derecho a permanecer en silencio."" Esta frase desescala mientras protege tus derechos. Memorízala.",Calm In Chaos,De-Escalation / Scripts
29,STRIP THE METADATA,"SafeNeighbor removes GPS coordinates and timestamps from your recordings before sharing. Protect your location privacy while still preserving your evidence.",ELIMINA LOS METADATOS,"SafeNeighbor elimina las coordenadas GPS y las marcas de tiempo de tus grabaciones antes de compartirlas. Protege la privacidad de tu ubicación mientras preservas tu evidencia.",Privacy Is A Right,Record / Privacy
30,FREE FOR EVERYONE,"No account. No payment. No tracking. SafeNeighbor is a free community safety tool available in 21 languages. Know your rights. Protect your community. Download now.",GRATIS PARA TODOS,"Sin cuenta. Sin pago. Sin rastreo. SafeNeighbor es una herramienta comunitaria de seguridad gratuita disponible en 21 idiomas. Conoce tus derechos. Protege a tu comunidad. Descárgala ahora.",Community Is Our Armor,App / Install
